transaction_id,customer_id,merchant_id,amount,currency,payment_method,payment_method_age,failure_reason,attempt_number,previous_success_count,previous_failure_count,customer_tenure_days,timestamp,country,device_type,is_subscription,subscription_amount,previous_recovery_attempts,final_status
TXN_DEMO_001,CUST_DEMO_01,MERCH_DEMO,49.99,USD,credit_card,420,network_error,1,14,0,450,2026-08-24T17:35:29.270815,US,mobile_app,True,49.99,0,failed
TXN_DEMO_002,CUST_DEMO_02,MERCH_DEMO,129.0,USD,credit_card,730,expired_card,1,8,1,365,2026-08-24T14:35:29.270815,US,web_browser,True,129.0,0,failed
TXN_DEMO_003,CUST_DEMO_03,MERCH_DEMO,89.5,USD,debit_card,180,insufficient_funds,2,5,1,200,2026-08-24T07:35:29.270815,IN,mobile_app,False,0.0,1,failed
TXN_DEMO_004,CUST_DEMO_04,MERCH_DEMO,2499.0,USD,credit_card,30,limit_exceeded,1,1,0,35,2026-08-24T01:35:29.270815,GB,web_browser,False,0.0,0,failed
TXN_DEMO_005,CUST_DEMO_05,MERCH_DEMO,19.99,USD,upi,90,authentication_failed,3,2,3,100,2026-08-23T19:35:29.270815,IN,mobile_app,True,19.99,3,failed
TXN_DEMO_006,CUST_DEMO_06,MERCH_DEMO,499.0,USD,credit_card,500,bank_declined,1,12,0,600,2026-08-23T13:35:29.270815,DE,web_browser,True,499.0,0,failed
TXN_DEMO_007,CUST_DEMO_07,MERCH_DEMO,1250.0,USD,ach,10,unknown,1,0,1,12,2026-08-23T07:35:29.270815,US,api_integration,False,0.0,0,failed
TXN_DEMO_008,CUST_DEMO_08,MERCH_DEMO,75.0,USD,debit_card,300,invalid_payment_method,3,3,4,320,2026-08-22T19:35:29.270815,CA,web_browser,False,0.0,3,abandoned
TXN_DEMO_009,CUST_DEMO_09,MERCH_DEMO,99.0,USD,credit_card,250,insufficient_funds,1,6,0,280,2026-08-22T07:35:29.271995,US,mobile_app,True,99.0,1,recovered
TXN_DEMO_010,CUST_DEMO_10,MERCH_DEMO,3500.0,USD,net_banking,5,authentication_failed,1,0,0,2,2026-08-21T19:35:29.271995,AU,web_browser,False,0.0,0,failed
TXN_000011,CUST_1409,MERCH_02,199.0,GBP,credit_card,105,insufficient_funds,2,7,1,755,2026-08-22T04:54:15.115799,US,mobile_app,True,199.0,1,recovered
TXN_000012,CUST_0547,MERCH_04,143.2,USD,debit_card,430,authentication_failed,1,20,5,559,2026-07-31T12:46:56.923250,AU,web_browser,False,0.0,0,failed
TXN_000013,CUST_0796,MERCH_05,19.99,USD,ach,95,invalid_payment_method,1,10,0,95,2026-08-06T16:52:08.740063,CA,api_integration,True,19.99,0,recovered
TXN_000014,CUST_0355,MERCH_07,99.0,INR,upi,883,insufficient_funds,1,20,4,907,2026-08-22T17:25:07.366097,US,mobile_app,True,99.0,0,failed
TXN_000015,CUST_0306,MERCH_07,95.61,USD,wallet,215,network_error,2,5,2,364,2026-08-04T07:24:19.800084,AU,mobile_app,False,0.0,1,recovered
TXN_000016,CUST_1193,MERCH_04,49.99,INR,credit_card,225,expired_card,2,20,5,571,2026-08-01T12:50:56.861235,GB,web_browser,True,49.99,1,recovered
TXN_000017,CUST_0648,MERCH_02,99.0,EUR,debit_card,512,limit_exceeded,1,10,1,672,2026-08-11T01:09:50.456755,IN,api_integration,True,99.0,0,abandoned
TXN_000018,CUST_1249,MERCH_09,211.16,USD,credit_card,225,expired_card,4,18,3,371,2026-08-09T12:41:00.548251,US,mobile_app,False,0.0,3,failed
TXN_000019,CUST_1385,MERCH_03,87.27,USD,ach,480,insufficient_funds,1,12,4,480,2026-07-27T13:02:07.754409,DE,web_browser,False,0.0,0,failed
TXN_000020,CUST_1412,MERCH_06,29.99,INR,wallet,740,expired_card,3,14,0,977,2026-08-09T19:07:10.277969,US,api_integration,True,29.99,2,failed
TXN_000021,CUST_0711,MERCH_09,38.27,GBP,credit_card,798,expired_card,3,5,4,977,2026-08-06T20:18:40.529124,US,web_browser,False,0.0,2,abandoned
TXN_000022,CUST_0729,MERCH_04,19.99,INR,debit_card,498,limit_exceeded,2,2,0,750,2026-08-08T19:59:46.654796,AU,web_browser,True,19.99,1,abandoned
TXN_000023,CUST_1225,MERCH_03,117.51,EUR,net_banking,748,authentication_failed,2,6,4,774,2026-08-12T20:15:24.867630,DE,web_browser,False,0.0,1,recovered
TXN_000024,CUST_0347,MERCH_04,9.99,INR,credit_card,236,insufficient_funds,1,18,4,236,2026-08-05T21:09:37.603816,US,web_browser,True,9.99,0,failed
TXN_000025,CUST_0245,MERCH_09,29.99,GBP,net_banking,136,bank_declined,3,6,4,136,2026-08-10T15:12:56.133364,IN,mobile_app,True,29.99,2,failed
TXN_000026,CUST_0298,MERCH_07,87.64,USD,debit_card,662,expired_card,1,1,5,670,2026-08-14T15:13:39.067749,IN,mobile_app,False,0.0,0,failed
TXN_000027,CUST_1198,MERCH_08,49.99,USD,credit_card,896,insufficient_funds,1,14,1,896,2026-07-30T03:16:51.234798,AU,api_integration,True,49.99,0,recovered
TXN_000028,CUST_0130,MERCH_02,19.99,GBP,upi,411,expired_card,3,15,1,886,2026-08-24T17:56:23.307244,CA,web_browser,True,19.99,2,failed
TXN_000029,CUST_0966,MERCH_09,195.09,USD,credit_card,60,insufficient_funds,1,9,1,992,2026-08-02T09:01:25.890694,DE,web_browser,False,0.0,0,failed
TXN_000030,CUST_1129,MERCH_09,9.99,INR,wallet,71,invalid_payment_method,1,2,1,71,2026-08-12T16:48:48.402176,DE,mobile_app,True,9.99,0,recovered
TXN_000031,CUST_1368,MERCH_02,165.67,EUR,net_banking,210,authentication_failed,2,10,2,210,2026-08-12T22:33:54.840017,GB,mobile_app,False,0.0,1,failed
TXN_000032,CUST_0119,MERCH_08,975.86,INR,upi,219,unknown,1,2,4,219,2026-07-29T09:21:26.444902,GB,mobile_app,False,0.0,0,abandoned
TXN_000033,CUST_0997,MERCH_09,59.04,INR,upi,9,unknown,2,20,4,9,2026-08-04T21:55:04.542740,US,mobile_app,False,0.0,1,failed
TXN_000034,CUST_1233,MERCH_03,54.64,USD,credit_card,650,insufficient_funds,3,10,1,704,2026-08-17T06:42:33.390281,AU,web_browser,False,0.0,2,failed
TXN_000035,CUST_0666,MERCH_01,29.99,USD,credit_card,166,network_error,1,20,2,166,2026-08-07T23:41:40.604970,AU,mobile_app,True,29.99,0,recovered
TXN_000036,CUST_1217,MERCH_01,136.02,EUR,debit_card,316,insufficient_funds,3,4,0,316,2026-07-29T23:52:18.032378,AU,mobile_app,False,0.0,2,recovered
TXN_000037,CUST_1465,MERCH_02,232.2,INR,net_banking,159,limit_exceeded,3,13,4,768,2026-08-19T22:30:23.192307,US,mobile_app,False,0.0,2,failed
TXN_000038,CUST_0780,MERCH_07,304.34,INR,debit_card,719,network_error,1,8,1,807,2026-07-30T01:23:24.658098,CA,web_browser,False,0.0,0,recovered
TXN_000039,CUST_0725,MERCH_04,9.99,GBP,ach,286,bank_declined,1,12,2,286,2026-08-14T06:42:04.918019,DE,web_browser,True,9.99,0,recovered
TXN_000040,CUST_0156,MERCH_02,34.51,USD,net_banking,112,invalid_payment_method,1,8,0,112,2026-08-15T09:40:30.597435,DE,mobile_app,False,0.0,0,recovered
TXN_000041,CUST_0621,MERCH_01,90.92,USD,ach,737,authentication_failed,2,17,5,737,2026-08-13T21:17:18.336868,GB,api_integration,False,0.0,1,recovered
TXN_000042,CUST_0742,MERCH_02,350.46,GBP,ach,413,authentication_failed,1,13,2,413,2026-08-12T04:48:43.735536,AU,mobile_app,False,0.0,0,failed
TXN_000043,CUST_1360,MERCH_10,83.15,GBP,net_banking,216,network_error,2,9,2,216,2026-08-15T03:30:15.278241,AU,mobile_app,False,0.0,1,recovered
TXN_000044,CUST_1146,MERCH_08,32.89,EUR,debit_card,635,insufficient_funds,1,16,5,649,2026-08-02T06:44:49.629219,IN,mobile_app,False,0.0,0,recovered
TXN_000045,CUST_0150,MERCH_01,49.99,GBP,net_banking,425,authentication_failed,1,2,3,425,2026-08-03T22:11:09.742254,IN,mobile_app,True,49.99,0,failed
TXN_000046,CUST_1443,MERCH_01,499.0,GBP,debit_card,476,expired_card,1,5,5,531,2026-07-30T08:46:26.860745,CA,api_integration,True,499.0,0,failed
TXN_000047,CUST_1187,MERCH_09,62.25,GBP,debit_card,737,bank_declined,3,14,4,835,2026-07-28T14:38:48.278356,AU,web_browser,False,0.0,2,failed
TXN_000048,CUST_1021,MERCH_05,499.0,EUR,upi,245,authentication_failed,1,16,3,642,2026-08-16T05:47:44.767092,GB,api_integration,True,499.0,0,failed
TXN_000049,CUST_0265,MERCH_03,19.99,USD,debit_card,66,expired_card,1,4,5,220,2026-08-10T20:04:21.210458,CA,web_browser,True,19.99,0,failed
TXN_000050,CUST_1296,MERCH_01,76.8,INR,net_banking,400,insufficient_funds,3,11,2,772,2026-08-12T05:50:16.955080,IN,web_browser,False,0.0,2,abandoned
TXN_000051,CUST_0992,MERCH_08,49.99,USD,net_banking,170,insufficient_funds,1,12,5,170,2026-08-06T03:31:43.241656,DE,api_integration,True,49.99,0,failed
TXN_000052,CUST_1457,MERCH_01,199.0,GBP,upi,52,expired_card,1,14,1,52,2026-08-15T00:11:42.610232,CA,web_browser,True,199.0,0,failed
TXN_000053,CUST_0267,MERCH_08,199.0,INR,debit_card,71,authentication_failed,2,11,1,666,2026-08-02T04:31:08.331026,US,api_integration,True,199.0,1,recovered
TXN_000054,CUST_0412,MERCH_04,49.99,USD,debit_card,477,bank_declined,1,18,1,477,2026-08-06T15:18:33.534248,GB,mobile_app,True,49.99,0,failed
TXN_000055,CUST_1285,MERCH_01,133.63,INR,credit_card,733,limit_exceeded,1,12,3,965,2026-07-30T21:33:46.603025,AU,web_browser,False,0.0,0,failed
TXN_000056,CUST_1329,MERCH_02,233.93,GBP,credit_card,71,insufficient_funds,1,13,5,380,2026-07-30T07:52:55.094038,CA,web_browser,False,0.0,0,failed
TXN_000057,CUST_1401,MERCH_08,29.91,GBP,ach,277,insufficient_funds,2,16,5,277,2026-08-10T07:25:17.801031,DE,web_browser,False,0.0,1,failed
TXN_000058,CUST_0760,MERCH_04,29.99,EUR,debit_card,584,limit_exceeded,2,7,3,584,2026-08-09T23:38:24.764964,CA,mobile_app,True,29.99,1,failed
TXN_000059,CUST_0826,MERCH_05,54.2,GBP,wallet,11,authentication_failed,3,8,4,11,2026-08-03T05:06:34.969516,IN,api_integration,False,0.0,2,failed
TXN_000060,CUST_1075,MERCH_08,241.21,EUR,net_banking,250,insufficient_funds,1,7,3,709,2026-08-10T14:47:28.458906,AU,api_integration,False,0.0,0,failed
TXN_000061,CUST_0777,MERCH_06,95.7,INR,debit_card,198,insufficient_funds,1,7,0,739,2026-07-27T06:57:16.951377,IN,api_integration,False,0.0,0,recovered
TXN_000062,CUST_1091,MERCH_05,138.59,USD,ach,103,bank_declined,1,19,2,103,2026-08-19T10:18:41.389718,DE,mobile_app,False,0.0,0,failed
TXN_000063,CUST_0661,MERCH_01,99.0,GBP,net_banking,771,insufficient_funds,1,4,5,890,2026-08-07T14:13:21.477843,CA,web_browser,True,99.0,0,recovered
TXN_000064,CUST_0477,MERCH_01,429.69,EUR,credit_card,76,expired_card,1,2,3,504,2026-08-20T06:15:47.491701,IN,mobile_app,False,0.0,0,recovered
TXN_000065,CUST_1242,MERCH_07,141.0,EUR,wallet,462,authentication_failed,1,16,3,462,2026-07-26T02:46:04.656119,DE,mobile_app,False,0.0,0,recovered
TXN_000066,CUST_1348,MERCH_02,199.0,GBP,upi,178,insufficient_funds,1,2,1,246,2026-08-12T13:23:58.789986,US,mobile_app,True,199.0,0,failed
TXN_000067,CUST_0690,MERCH_05,299.5,GBP,credit_card,807,insufficient_funds,1,7,2,807,2026-07-27T19:20:36.748349,DE,mobile_app,False,0.0,0,recovered
TXN_000068,CUST_1426,MERCH_03,267.85,GBP,ach,610,insufficient_funds,2,5,2,610,2026-08-11T15:20:41.628274,GB,api_integration,False,0.0,1,abandoned
TXN_000069,CUST_0924,MERCH_05,121.47,INR,ach,443,expired_card,2,19,0,911,2026-08-24T00:52:16.782286,DE,api_integration,False,0.0,1,recovered
TXN_000070,CUST_0142,MERCH_05,11.16,GBP,credit_card,453,bank_declined,3,15,4,668,2026-08-07T06:06:45.601940,CA,web_browser,False,0.0,2,failed
TXN_000071,CUST_0936,MERCH_06,171.36,USD,net_banking,508,network_error,1,10,3,711,2026-07-31T09:48:18.993727,US,web_browser,False,0.0,0,abandoned
TXN_000072,CUST_0616,MERCH_06,499.0,EUR,wallet,674,expired_card,1,16,0,674,2026-08-19T04:27:02.854415,CA,api_integration,True,499.0,0,failed
TXN_000073,CUST_1005,MERCH_01,29.99,INR,ach,716,authentication_failed,1,9,3,902,2026-08-05T21:56:18.338020,IN,web_browser,True,29.99,0,failed
TXN_000074,CUST_1228,MERCH_01,83.63,EUR,wallet,121,insufficient_funds,1,3,3,970,2026-07-27T20:04:28.295747,AU,web_browser,False,0.0,0,failed
